"Postal.Code" "Place.Name" "State" "State.Abbreviation" "County" "Latitude" "Longitude"
"43700" "00734" "PONCE" "Puerto Rico" "PR" NA "17.98" "-66.60"
"43701" "00735" "CEIBA" "Puerto Rico" "PR" NA "18.26" "-65.64"
"43702" "00736" "CAYEY" "Puerto Rico" "PR" NA "18.11" "-66.16"
"43703" "00737" "CAYEY" "Puerto Rico" "PR" NA "18.11" "-66.16"
"43704" "00738" "FAJARDO" "Puerto Rico" "PR" NA "18.33" "-65.65"
"43705" "00739" "CIDRA" "Puerto Rico" "PR" NA "18.17" "-66.15"
"43706" "00740" "PUERTO REAL" "Puerto Rico" "PR" NA "18.33" "-65.63"
"43707" "00741" "PUNTA SANTIAGO" "Puerto Rico" "PR" NA "18.15" "-65.76"
"43708" "00742" "ROOSEVELT ROADS" "Puerto Rico" "PR" NA "18.27" "-65.65"
"43709" "00744" "RIO BLANCO" "Puerto Rico" "PR" NA "18.22" "-65.79"
"43710" "00745" "RIO GRANDE" "Puerto Rico" "PR" NA "18.38" "-65.83"
"43711" "00751" "SALINAS" "Puerto Rico" "PR" NA "17.97" "-66.29"
"43712" "00754" "SAN LORENZO" "Puerto Rico" "PR" NA "18.19" "-65.96"
"43713" "00757" "SANTA ISABEL" "Puerto Rico" "PR" NA "17.97" "-66.40"
"43714" "00765" "VIEQUES" "Puerto Rico" "PR" NA "18.42" "-65.83"
"43715" "00766" "VILLALBA" "Puerto Rico" "PR" NA "18.13" "-66.48"
"43716" "00767" "YABUCOA" "Puerto Rico" "PR" NA "18.04" "-65.87"
"43717" "00769" "COAMO" "Puerto Rico" "PR" NA "18.08" "-66.36"
"43718" "00771" "LAS PIEDRAS" "Puerto Rico" "PR" NA "18.18" "-65.86"
"43719" "00772" "LOIZA" "Puerto Rico" "PR" NA "18.43" "-65.88"
"43720" "00773" "LUQUILLO" "Puerto Rico" "PR" NA "18.37" "-65.71"
"43721" "00775" "CULEBRA" "Puerto Rico" "PR" NA "18.31" "-65.30"
"43722" "00777" "JUNCOS" "Puerto Rico" "PR" NA "18.22" "-65.91"
"43723" "00778" "GURABO" "Puerto Rico" "PR" NA "18.25" "-65.97"
"43724" "00780" "COTO LAUREL" "Puerto Rico" "PR" NA "18.09" "-66.57"
"43725" "00782" "COMERIO" "Puerto Rico" "PR" NA "18.22" "-66.22"
"43726" "00783" "COROZAL" "Puerto Rico" "PR" NA "18.34" "-66.31"
"43727" "00784" "GUAYAMA" "Puerto Rico" "PR" NA "17.97" "-66.11"
"43728" "00785" "GUAYAMA" "Puerto Rico" "PR" NA "17.97" "-66.11"
